@relation sg2$data

@attribute regioncentroidcol numeric
@attribute regioncentroidrow numeric
@attribute regionpixelcount numeric
@attribute shortlinedensity5 numeric
@attribute shortlinedensity2 numeric
@attribute vedgemean numeric
@attribute vegdesd numeric
@attribute hedgemean numeric
@attribute hedgesd numeric
@attribute intensitymean numeric
@attribute rawredmean numeric
@attribute rawbluemean numeric
@attribute rawgreenmean numeric
@attribute exredmean numeric
@attribute exbluemean numeric
@attribute exgreenmean numeric
@attribute valuemean numeric
@attribute saturationmean numeric
@attribute huemean numeric
@attribute class {brickface,sky,foliage,cement,window,path,grass}

@data
71,180,9,0111111,0,122222,0562963,3,186666,223333,183333,214444,272222,-12,-266667,146667,272222,0327383,245383,grass
127,120,9,0111111,0,166667,0844445,322222,402963,236667,221111,304444,184444,-466667,203333,-156667,304444,0394863,-176489,brickface
140,124,9,0,0,1,0444445,111111,105185,251852,0222222,611111,122222,-688889,107778,-388889,611111,0973765,-226746,foliage
48,81,9,0,0,0611111,0240743,0888891,0429629,112926,105667,128889,104222,-217778,478889,-261111,128889,019308,-203349,sky
14,138,9,0,0,05,0122222,05,00777778,496296,677778,544444,266667,544444,144444,-688889,677778,0603836,-0722894,brickface
97,130,9,0,0,0722222,0507407,105556,0685185,585185,733333,688889,333333,444444,311111,-755556,766667,0570106,-0963048,brickface
110,182,9,0,0,238889,179402,255556,155873,463704,426667,563333,401111,-111111,298889,-187778,563333,0287646,-193005,path
245,238,9,0111111,0,166667,253859,233333,24404,892593,633333,655556,138889,-777778,-711111,148889,138889,0597015,212606,grass
82,138,9,0,0,0888889,0518518,0888889,0385185,140741,0,377778,0444444,-422222,711111,-288889,377778,1,-217396,foliage
132,84,9,0,0,3,122927,0888889,045542,888889,733333,117778,755556,-466667,866667,-4,117778,0380483,-213694,cement
235,196,9,0,0,166667,133333,222222,114827,472593,417778,585556,414444,-164444,338889,-174444,585556,0294238,-207462,path
147,87,9,0,0,683333,661899,155556,169531,433333,378889,548889,372222,-163333,346667,-183333,548889,0319706,-205039,cement
4,210,9,0,0,472222,401894,572222,218497,497407,442222,622222,427778,-165556,374444,-208889,622222,0314278,-201443,path
98,41,9,0,0,172223,0774073,111111,0874068,137148,130667,147222,133556,-194444,302222,-107778,147222,0112421,-226853,sky
222,114,9,0,0,0277778,00629629,0444444,00740741,544444,611111,733333,288889,2,566667,-766667,733333,0603175,-131453,brickface
122,123,9,0,0,0611111,0374074,05,0211111,118519,0,333333,0222222,-355556,644444,-288889,333333,1,-214267,foliage
129,157,9,0,0,244444,354074,222222,171852,231481,182222,32,192222,-147778,265556,-117778,32,0430239,-216937,cement
140,161,9,0,0,0277778,0327731,0777778,0620633,157407,124444,143333,204444,-988889,-422222,141111,204444,0390957,234513,grass
175,188,9,0,0,3,257337,233333,129957,557778,496667,691111,485556,-183333,40,-216667,691111,0296294,-203967,path
192,142,9,0111111,0,05,0122222,15,0522222,466667,677778,488889,233333,633333,0666667,-7,677778,0662037,-0604864,brickface
101,72,9,0,0,25,474444,177778,629629,264815,235556,357778,201111,-877778,278889,-191111,357778,0436895,-184616,brickface
211,107,9,0111111,0,255556,225185,205556,281852,167407,117778,257778,126667,-148889,271111,-122222,257778,0547173,-215946,window
140,125,9,0,0,0277778,0062963,0666667,0311111,618518,733333,766667,355556,344444,444444,-788889,777778,0545635,-112182,brickface
221,107,9,0,0,116667,0211111,0833333,0344444,222222,0333333,533333,1,-566667,933333,-366667,533333,094709,-222635,foliage
168,13,9,0111111,0,133333,0444445,133333,0400002,130407,119667,145444,126111,-322222,451111,-128889,145444,0177191,-235524,sky
200,250,9,0,0,227778,142075,144444,10256,922222,655556,733333,137778,-8,-566667,136667,137778,056339,219294,grass
23,85,9,0,0,144444,105185,177778,0962963,17963,188889,218889,131111,277778,117778,-145556,218889,0399751,-138687,brickface
65,143,9,0,0,0333333,0133333,0444445,00740741,503704,655556,588889,266667,455556,255556,-711111,666667,0595238,-0907416,brickface
108,128,9,0,0,705556,436866,166667,105409,532593,463333,671111,463333,-207778,415556,-207778,671111,0312927,-209193,cement
17,64,9,0,0,144444,136296,166667,142222,188889,175556,251111,14,-4,186667,-146667,251111,0441092,-175551,brickface
187,134,9,0111111,0,3,204445,111111,0385185,267037,203333,374444,223333,-191111,322222,-131111,374444,0457752,-221646,window
197,121,9,0,0,216667,173628,0944444,0904721,41037,374444,494444,362222,-107778,252222,-144444,494444,0280578,-199554,cement
188,42,9,0,0,0777779,054433,166667,126491,108926,956667,126222,104889,-397778,518889,-121111,126222,0241934,-241039,sky
99,130,9,0,0,0555555,045542,0555555,0544331,137037,0111111,333333,0666667,-377778,588889,-211111,333333,0977778,-223903,foliage
95,71,9,0,0,105555,108518,222222,376296,105667,966667,122444,978889,-27,503333,-233333,122444,0212264,-214316,sky
153,192,9,0,0,338889,178159,744444,413477,534444,473333,65,48,-183333,346667,-163333,65,0272721,-21642,path
118,167,9,0111111,0,0888889,0518518,205556,0996296,145926,128889,137778,171111,-511111,-244444,755556,171111,0248449,230573,grass
69,75,9,0111111,0,211111,140741,15,221111,227407,22,293333,168889,-222222,197778,-175556,293333,0423501,-164188,brickface
98,119,9,0222222,0,144444,0518519,255556,558518,215926,213333,273333,161111,-0777778,172222,-164444,273333,0408211,-157896,brickface
59,116,9,0,0,3,281267,0777778,045542,21963,178889,295556,184444,-122222,227778,-105556,295556,0395663,-214478,window
14,28,9,0,0,0555553,00740745,122222,0429626,110481,978889,131111,102444,-377778,618889,-241111,131111,0253299,-223887,sky
228,42,9,0111111,0,205556,155516,433333,223109,445556,395556,541111,40,-15,286667,-136667,541111,0271572,-212013,cement
116,35,9,0,0,0833333,0781735,0888888,0544333,125185,113778,141333,120444,-342222,484444,-142222,141333,0194853,-234664,sky
45,108,9,0,0111111,255,127954,272778,15931,498148,417778,611111,465556,-241111,338889,-977778,611111,0358975,-236049,foliage
127,118,9,0,0,115556,1023,0833334,0691215,343333,307778,416667,305556,-106667,22,-113333,416667,0293949,-207767,cement
152,220,9,0,0,0944445,0685185,144444,216296,146296,115556,131111,192222,-922222,-455556,137778,192222,0416705,230688,grass
28,131,9,0,0,0222222,0074074,0777778,0207407,518518,666667,6,288889,444444,244444,-688889,666667,0566138,-0874641,brickface
181,15,9,0,0,0833336,0211111,144444,122963,140296,133889,149556,137444,-192222,277778,-855556,149556,0104639,-233056,sky
201,125,9,0111111,0,172222,134026,855555,572583,433704,416667,49,394444,-511111,168889,-117778,49,0192484,-184058,cement
201,125,9,0,0,1,0444444,994444,103752,428148,391111,517778,375556,-111111,268889,-157778,517778,0270638,-197302,cement
59,120,9,0,0,216667,198606,144444,186984,190741,105556,331111,135556,-255556,421111,-165556,331111,0681266,-223126,foliage
21,64,9,0,0,162778,129485,202222,176291,31,246667,38,303333,-19,21,-2,38,0400746,-259382,foliage
196,95,9,0,0,172222,112382,133333,126491,762963,677778,107778,533333,-255556,944444,-688889,107778,0512566,-174926,window
63,19,9,0,0,244444,118634,144444,0886106,451852,38,587778,387778,-215556,407778,-192222,587778,0355227,-213368,cement
45,108,9,0,0111111,255,127954,272778,15931,498148,417778,611111,465556,-241111,338889,-977778,611111,0358975,-236049,foliage
123,183,9,0,0,111111,0651852,633333,369333,322593,294444,391111,282222,-844444,205556,-121111,391111,0266436,-197077,path
95,109,9,0,0,1,0488889,194444,272963,172593,192222,20,125556,588889,822222,-141111,204444,0384997,-11312,brickface
187,89,9,0,0,3,160555,111111,106805,844444,633333,13,6,-633333,136667,-733333,13,0548545,-204388,window
115,111,9,0,0,0555556,0403687,194444,104172,18037,966667,301111,143333,-251111,362222,-111111,301111,0679513,-233332,foliage
108,123,9,0,0,0611111,0240741,0666667,0266667,674074,822222,8,4,444444,377778,-822222,844444,0524471,-0985729,brickface
206,61,9,0,0,0555555,0403687,05,0459468,707407,466667,122222,433333,-722222,154444,-822222,122222,0645891,-204872,window
34,169,9,0,0,0833333,0505525,161111,0879815,128148,106667,977778,18,-644444,-911111,155556,18,0463569,199318,grass
4,96,9,0,0,222222,296296,155556,225185,355556,0888889,777778,2,-8,126667,-466667,777778,0910065,-224448,foliage
29,81,9,0111111,0,261111,375185,272222,375185,204815,201111,261111,152222,-111111,168889,-157778,261111,0412662,-156634,brickface
129,184,9,0111111,0,222222,0910841,361111,181863,452222,417778,544444,394444,-103333,276667,-173333,544444,0275818,-19302,path
88,136,9,0,0,183333,114988,205556,211257,8,411111,132222,666667,-116667,156667,-4,132222,0695088,-241267,foliage
21,123,9,0,0,0888888,0385186,1,0355555,192963,156667,263333,158889,-108889,211111,-102222,263333,0408913,-211573,cement
73,19,9,0,0,0944445,0389681,0944443,0680416,127519,116556,143111,122889,-328889,467778,-138889,143111,0185539,-234419,sky
70,38,9,0,0,122222,0272166,1,0760116,58,50,743333,496667,-24,49,-25,743333,0336015,-20785,cement
135,211,9,0,0,188889,132777,216667,114988,17963,144444,163333,231111,-105556,-488889,154444,231111,0375552,232755,grass
151,163,9,0,0,205556,228519,181667,419889,40,345556,48,374444,-163333,24,-766667,481111,0263846,-251749,path
161,154,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
223,175,9,0,0,377778,312457,716667,468923,578519,507778,727778,50,-212222,447778,-235556,727778,0312834,-205935,path
253,75,9,0,0,0666668,0266666,0888888,0385187,885556,72,115889,777778,-496667,82,-323333,115889,0378682,-2232,sky
93,190,9,0,0,55,18227,261111,323465,535926,473333,668889,465556,-187778,398889,-211111,668889,0303602,-205255,path
230,113,9,0,0,111111,0501849,0555556,0544331,215926,181111,278889,187778,-104444,188889,-844444,278889,0350082,-216363,window
139,128,9,0,0,294444,788519,316667,124333,52963,244444,955556,388889,-855556,127778,-422222,955556,0804724,-230037,foliage
205,194,9,0,0,161111,120031,538889,304351,412963,371111,504444,363333,-125556,274444,-148889,504444,028056,-203757,path
57,229,9,0,0,272222,205931,344444,140896,146296,12,135556,183333,-788889,-322222,111111,183333,0347692,235044,grass
95,57,9,0,0,183333,341111,211111,171852,262963,246667,344444,197778,-488889,244444,-195556,344444,0425691,-173902,brickface
156,188,9,0,0,427778,231341,5,374759,612593,551111,756667,53,-184444,432222,-247778,756667,0300242,-199775,path
62,200,9,0,0,227778,213351,377778,178471,61037,541111,764444,525556,-207778,462222,-254444,764444,0312541,-202659,path
230,117,9,0,0,327778,0928958,144444,0860663,39037,335556,497778,337778,-164444,322222,-157778,497778,0335026,-210623,cement
199,120,9,0,0,35,407778,833333,539556,393333,354444,477778,347778,-116667,253333,-136667,477778,0272752,-204675,cement
202,208,9,0,0,172222,13963,183333,305555,192593,155556,176667,245556,-111111,-477778,158889,245556,0368866,239677,grass
23,172,9,0,0,133333,0894427,916667,585662,423333,38,512222,377778,-13,266667,-136667,512222,0265454,-212656,path
63,13,9,0,0,116667,101112,0944445,0685187,141815,137111,148889,139444,-141111,212222,-711111,148889,00798058,-227677,sky
93,46,9,0,0,211111,162963,177778,180741,126037,116,141,121111,-301111,448889,-147778,141,0177195,-230444,sky
140,125,9,0,0,0666667,0222222,266667,377778,392593,155556,777778,244444,-711111,115556,-444444,777778,0853199,-223424,foliage
166,154,9,0,0,0111111,00296296,0444444,00740741,0703704,0222222,188889,0,-144444,355556,-211111,188889,1,-201751,window
78,85,9,0,0,55,210555,65,459831,488889,424444,615556,426667,-193333,38,-186667,615556,0315228,-209736,cement
182,39,9,0,0,55,573779,0611111,0879815,951852,733333,143333,688889,-655556,144444,-788889,143333,0576021,-203623,window
182,135,9,0,0,422222,112875,111111,10256,327037,285556,41,285556,-124444,248889,-124444,41,0308824,-20932,cement
236,102,9,0,0,105556,00629629,177778,122963,517037,462222,643333,445556,-164444,378889,-214444,643333,0307007,-200985,cement
32,158,9,0,0,0944445,0862963,0833333,0611111,796296,633333,118889,566667,-488889,117778,-688889,118889,0520578,-198283,cement
23,92,9,0,0111111,411111,463641,7,56882,126667,877778,186667,105556,-116667,18,-633333,186667,0564898,-228056,foliage
32,95,9,0,0,127778,104074,222222,30963,314815,0777778,744444,122222,-711111,128889,-577778,744444,0919597,-215196,foliage
142,182,9,0,0,25,11,227778,361852,345185,315556,422222,297778,-888889,231111,-142222,422222,0293208,-194304,path
233,184,9,0,0,05,00777778,0777778,0785185,118519,977778,988889,158889,-622222,-588889,121111,158889,0405556,212865,grass
253,32,9,0,0,0499999,0586892,133333,0557772,116778,103889,133333,113111,-386667,496667,-11,133333,0220748,-242119,sky
203,61,9,0,0,0166667,0278887,0722222,0443054,7,444444,123333,422222,-766667,16,-833333,123333,066626,-20682,window
98,107,9,0,0,466667,373333,394444,171296,87037,488889,145556,666667,-114444,175556,-611111,145556,0697226,-228015,foliage
38,189,9,0,0,1,0222222,622222,333185,290741,263333,352222,256667,-822222,184444,-102222,352222,0271208,-204915,path
38,146,9,0,0,05,0122222,0666667,0266667,511111,566667,677778,288889,166667,5,-666667,688889,0571429,-125836,brickface
151,129,9,0,0,805556,814157,0722222,0827758,32037,275556,411111,274444,-134444,272222,-137778,411111,0338407,-20788,cement
86,193,9,0,0,327778,165216,222222,180944,614074,536667,765556,54,-232222,454444,-222222,765556,0299579,-210937,path
104,68,9,0,0,1,057778,0888889,0829629,105778,951111,124889,973333,-32,573333,-253333,124889,0239143,-217,sky
60,52,9,0,0,0722223,0596301,0777777,0740744,11163,101,129222,104667,-318889,527778,-208889,129222,0218379,-222968,sky
62,202,9,0,0,255556,170837,15,113039,604815,536667,748889,528889,-204444,432222,-227778,748889,029788,-206061,path
243,94,9,0,0,0666667,0311111,0222222,00296296,118519,0222222,322222,0111111,-288889,611111,-322222,322222,0977778,-207124,window
22,87,9,0,0,188889,125904,116667,0623611,64037,557778,803333,56,-247778,488889,-241111,803333,03097,-210507,cement
96,92,9,0111111,0,333333,297778,177778,0651851,228889,217778,297778,171111,-333333,206667,-173333,297778,0422223,-168265,brickface
119,153,9,0,0,505556,553942,00555555,0136083,337037,3,388889,322222,-111111,155556,-0444444,388889,00850168,-222172,window
86,194,9,0,0,177778,127407,188889,0385185,167778,132222,166667,204444,-106667,-0333333,11,204444,0352132,259311,grass
6,174,9,0,0,188889,100741,288889,402963,190741,151111,177778,243333,-118889,-388889,157778,243333,0381867,239502,grass
39,111,9,0,0,0722222,0374074,0888889,0429629,603704,7,766667,344444,288889,488889,-777778,788889,0562919,-117577,brickface
23,147,9,0,0,0333333,0133333,0722222,0418518,459259,411111,744444,222222,-144444,855556,-711111,766667,0698445,-156175,brickface
248,53,9,0,0,0722229,0285188,0833333,0700008,134778,128222,145778,130333,-196667,33,-133333,145778,0121119,-221749,sky
33,100,9,0,0,0722222,0534027,0666667,0365148,122222,0111111,277778,0777778,-333333,466667,-133333,277778,0977778,-23371,foliage
103,216,9,0,0,0888889,0651852,216667,114444,145556,108889,136667,191111,-11,-266667,136667,191111,0431696,244755,grass
243,94,9,0,0,0666667,0311111,0222222,00296296,118519,0222222,322222,0111111,-288889,611111,-322222,322222,0977778,-207124,window
23,25,9,0,0,111111,0750305,0611111,064693,704444,606667,89,616667,-293333,556667,-263333,89,0318191,-213042,cement
75,75,9,0,0,283333,461111,222222,371852,25963,233333,347778,197778,-788889,264444,-185556,347778,0429663,-18356,brickface
222,131,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,window
240,63,9,0,0,0555556,0544331,0388889,0389682,896296,633333,14,655556,-788889,151111,-722222,14,05477,-212184,window
212,94,9,0,0,172222,237407,122222,0962962,156296,105556,248889,114444,-152222,277778,-125556,248889,057666,-215947,window
86,187,9,0,0,111111,0720082,144444,0750309,137407,116667,103333,192222,-622222,-102222,164444,192222,0463329,194146,grass
198,183,9,0,0,105555,118165,338889,159745,54037,488889,665556,466667,-154444,375556,-221111,665556,0298622,-197496,path
119,85,9,0,0,0499999,0299998,0888887,0607409,101037,887778,122556,917778,-367778,645556,-277778,122556,0275467,-218634,sky
216,169,9,0,0,0833333,0388889,194444,0418518,165926,127778,156667,213333,-114444,-277778,142222,213333,0400756,244578,grass
24,205,9,0,0,222222,158699,238889,248924,560741,497778,697778,486667,-188889,411111,-222222,697778,0303912,-203826,path
80,116,9,0,0,15,163333,155556,0874074,217037,212222,275556,163333,-144444,175556,-161111,275556,0407364,-163224,brickface
13,191,9,0,0,355556,540741,777778,400296,252963,235556,298889,224444,-522222,137778,-855556,301111,0237113,-185826,path
10,94,9,0,0,0444445,0118519,0722222,0196296,225926,0111111,6,0666667,-644444,112222,-477778,6,0986111,-218971,foliage
103,226,9,0,0,172222,170741,161111,175185,134815,102222,118889,183333,-977778,-477778,145556,183333,0442456,230385,grass
232,31,9,0,0,0555555,0344266,0777777,0344266,114963,101889,132556,110444,-392222,527778,-135556,132556,023132,-238488,sky
123,143,9,0,0,0277778,0389682,0277778,0136083,0407407,0,122222,0,-122222,244444,-122222,122222,0777778,-20944,foliage
138,144,9,0,0,0888889,0860663,0277778,0534027,0666667,0555556,1,0444444,-0333333,1,-0666667,1,037037,-190427,window
43,137,9,0,0,0166667,00777778,138889,175185,166667,0666667,377778,0555556,-3,633333,-333333,377778,0917989,-207124,window
238,118,9,0,0,0333333,0177778,0777778,00740741,5,622222,622222,255556,366667,366667,-733333,666667,0617063,-10472,brickface
20,189,9,0,0,172222,175185,266667,382223,341111,301111,427778,294444,-12,26,-14,427778,0309884,-204428,path
58,111,9,0,0,322222,345185,205556,0951851,193333,155556,262222,162222,-113333,206667,-933333,262222,0409226,-215372,window
49,139,9,0,0,0166667,00777778,0333333,00888889,0444444,0,133333,0,-133333,266667,-133333,133333,0777778,-20944,foliage
22,87,9,0,0,188889,125904,116667,0623611,64037,557778,803333,56,-247778,488889,-241111,803333,03097,-210507,cement
235,86,9,0,0,0277778,00185185,0277778,0062963,123333,777778,211111,811111,-136667,263333,-126667,211111,0630928,-212015,window
34,83,9,0,0,144444,0340741,244444,0429631,194444,195556,244444,143333,0333333,15,-153333,244444,0410073,-150701,brickface
